SIM,N,SIGMA2,XDIST,METHOD,alpha_hat,beta_hat
11,100,1,chi-square,Naive,-0.0826796063119649,0.456439556087511
11,100,1,chi-square,RC,-0.174627756792887,0.668504392721766
11,100,1,chi-square,True,-0.141840235238995,1.30811694341711
11,100,1,normal,Naive,0.11303635911551,0.752905532885684
11,100,1,normal,RC,0.268493377666588,1.39682521996768
11,100,1,normal,True,-0.0487519028217221,1.45042948070447
11,300,0.5,chi-square,Naive,-0.0742190766296773,0.608135288606338
11,300,0.5,chi-square,RC,-0.108280910758965,0.876046295880289
11,300,0.5,chi-square,True,-0.00481066695898617,1.29135914575752
11,300,0.5,normal,Naive,0.00770284942628944,0.946126055111197
11,300,0.5,normal,RC,-0.014034962508846,1.36535439519228
11,300,0.5,normal,True,0.0366182225539605,1.32899548374629
11,300,1,chi-square,Naive,0.151641554755649,0.449118071427811
11,300,1,chi-square,RC,0.129439940639412,0.784374426207361
11,300,1,chi-square,True,0.179658301926396,0.973537270687148
11,300,1,normal,Naive,0.100026271977756,0.427526765342609
11,300,1,normal,RC,0.100122978484845,0.944280964297377
11,300,1,normal,True,0.0357856979448385,0.740714942941976
12,100,0.5,chi-square,Naive,-0.106529033270551,0.863417237706635
12,100,0.5,chi-square,RC,-0.193280194715687,1.00739354491516
12,100,0.5,chi-square,True,-0.066990030995722,1.08377776950364
12,100,0.5,normal,Naive,-0.107837039358064,0.665474010010279
12,100,0.5,normal,RC,-0.253520817750757,0.911968843035821
12,100,0.5,normal,True,-0.0762304130451259,0.831785298355059
12,100,1,chi-square,Naive,0.0357712227420743,0.25087109317642
12,100,1,chi-square,RC,0.00717728357102568,0.388438435936627
12,100,1,chi-square,True,-0.0169032857580174,0.652017780673794
12,100,1,normal,Naive,-0.0292768732997094,0.310226607980315
12,100,1,normal,RC,0.0212970756019899,0.588563342322065
12,100,1,normal,True,-0.00863012745196508,0.759912614600347
12,300,0.5,chi-square,Naive,-0.00458700209228454,0.4184376960756
12,300,0.5,chi-square,RC,-0.0568255933794808,0.536989001895724
12,300,0.5,chi-square,True,-0.0217872316672774,0.677971142835583
12,300,0.5,normal,Naive,0.0256655970168545,0.696231988151409
12,300,0.5,normal,RC,0.0564515096244733,1.08671389445038
12,300,0.5,normal,True,0.0254166905167958,1.09632902312588
12,300,1,chi-square,Naive,0.117366746331719,0.443272900565596
12,300,1,chi-square,RC,0.0502433999264889,0.631174057454892
12,300,1,chi-square,True,0.100847885625085,0.652849053221561
12,300,1,normal,Naive,0.131024139300302,0.303232642381549
12,300,1,normal,RC,0.110431538208738,0.564361887582878
12,300,1,normal,True,0.157067800353416,0.819601184813122
13,100,0.5,chi-square,Naive,-0.0217936308580748,0.547218847209507
13,100,0.5,chi-square,RC,-0.0516002883434536,0.693958687662747
13,100,0.5,chi-square,True,-0.0254740711292746,0.929893298345089
13,100,0.5,normal,Naive,-0.133824848763608,0.636730435590777
13,100,0.5,normal,RC,-0.110477767831272,0.915026040235533
13,100,0.5,normal,True,-0.0713470613523208,0.914106390781207
13,100,1,chi-square,Naive,-0.148064386529865,0.247048076083696
13,100,1,chi-square,RC,-0.175028644737394,0.492625346253082
13,100,1,chi-square,True,-0.30897872929742,0.901211554776737
13,100,1,normal,Naive,-0.036365887926395,0.450530153072027
13,100,1,normal,RC,-0.0310980009857009,0.98872967281035
13,100,1,normal,True,-0.097227299556006,1.08922976206684
13,300,0.5,chi-square,Naive,0.0795121627243107,0.531666933221994
13,300,0.5,chi-square,RC,0.017587944435875,0.689905198621711
13,300,0.5,chi-square,True,0.093456234607242,0.828225473790408
13,300,0.5,normal,Naive,0.0784094363551762,0.644273505055147
13,300,0.5,normal,RC,0.0882251771767425,1.01274390566874
13,300,0.5,normal,True,0.0602894120865367,1.07431897510056
13,300,1,chi-square,Naive,0.133875942392362,0.298913158624703
13,300,1,chi-square,RC,0.0830580297462753,0.42135288281581
13,300,1,chi-square,True,0.0748059965169132,0.736437329483698
13,300,1,normal,Naive,-0.064705504825513,0.328775714022736
13,300,1,normal,RC,-0.0593144204430006,0.742090894598569
13,300,1,normal,True,-0.00395356407299942,1.0219810318983
14,100,0.5,chi-square,Naive,-0.134634812032266,0.391243928761667
14,100,0.5,chi-square,RC,-0.15641164366097,0.523392882511191
14,100,0.5,chi-square,True,-0.109493860775653,0.779249838199535
14,100,0.5,normal,Naive,0.13315837679998,1.0817457462436
14,100,0.5,normal,RC,0.111542818117909,1.61073747358167
14,100,0.5,normal,True,0.171649749982709,1.46601447088522
14,100,1,chi-square,Naive,0.143294026455162,0.393106445695362
14,100,1,chi-square,RC,0.0821576067751819,0.555400040277133
14,100,1,chi-square,True,0.157613070040272,0.619406089017372
14,100,1,normal,Naive,0.0829474802380584,0.928838151429638
14,100,1,normal,RC,0.248144637640831,1.97451482454851
14,100,1,normal,True,0.144735381337927,1.27014822874986
14,300,0.5,chi-square,Naive,0.0816102472378016,0.555969778831113
14,300,0.5,chi-square,RC,0.0483245812117855,0.691292785361098
14,300,0.5,chi-square,True,0.0539050906934212,1.05841739271575
14,300,0.5,normal,Naive,0.118595807576065,0.584503750838653
14,300,0.5,normal,RC,0.0911657590135864,0.917389262936813
14,300,0.5,normal,True,0.0881568366349755,0.907340821521504
14,300,1,chi-square,Naive,-0.16549760365168,0.538552494816578
14,300,1,chi-square,RC,-0.266565427386809,0.891712958812338
14,300,1,chi-square,True,-0.116601197811855,1.13383912229253
14,300,1,normal,Naive,-0.207675896777744,0.423768829255244
14,300,1,normal,RC,-0.184680006290733,0.90490137990928
14,300,1,normal,True,-0.28841775209069,0.881876619182259
15,100,0.5,chi-square,Naive,0.0653754876422032,0.442724871799394
15,100,0.5,chi-square,RC,0.025517330838898,0.585082616087229
15,100,0.5,chi-square,True,0.0384242960094404,0.767944890462723
15,100,0.5,normal,Naive,0.0288546886221618,0.628930948723061
15,100,0.5,normal,RC,0.0200574294428419,0.935469617999328
15,100,0.5,normal,True,-0.0831072546032121,1.27664867847803
15,100,1,chi-square,Naive,-0.223711065556175,0.586157249492167
15,100,1,chi-square,RC,-0.375804668148299,0.904267283976977
15,100,1,chi-square,True,-0.230574369084107,0.967192901734404
15,100,1,normal,Naive,-0.303445306733096,0.261508752573364
15,100,1,normal,RC,-0.309821686195187,0.434341220339124
15,100,1,normal,True,-0.210487682542882,0.587025181220113
15,300,0.5,chi-square,Naive,0.283991756010719,0.573548876003986
15,300,0.5,chi-square,RC,0.230050476540416,0.718963989524269
15,300,0.5,chi-square,True,0.282522333329794,1.09263786599293
15,300,0.5,normal,Naive,-0.0947271444056656,0.657893384287364
15,300,0.5,normal,RC,-0.104134789570797,0.941498838121744
15,300,0.5,normal,True,-0.0154531029041695,1.06059577225591
15,300,1,chi-square,Naive,0.198268697165065,0.500556704134019
15,300,1,chi-square,RC,0.115755549722541,0.881444447978596
15,300,1,chi-square,True,0.180344671479403,0.87951573084598
15,300,1,normal,Naive,0.237342902415461,0.536222955307874
15,300,1,normal,RC,0.220426058221405,0.965407642472968
15,300,1,normal,True,0.344413440289705,1.21682342101961
16,100,0.5,chi-square,Naive,-0.529390295102952,0.720847004803446
16,100,0.5,chi-square,RC,-0.621812035613461,0.93236870465922
16,100,0.5,chi-square,True,-0.398550529543091,1.15767191237872
16,100,0.5,normal,Naive,-0.417393975458295,0.599556128397755
16,100,0.5,normal,RC,-0.399254616624738,0.850274037688017
16,100,0.5,normal,True,-0.36351363833602,0.886384013547746
16,100,1,chi-square,Naive,0.0409117227353311,0.559401318526379
16,100,1,chi-square,RC,-0.0389638711030914,0.696509114782866
16,100,1,chi-square,True,0.0946559166726292,1.01144463219712
16,100,1,normal,Naive,-0.480368950140732,0.526558438022885
16,100,1,normal,RC,-0.488546050161743,0.947265296309612
16,100,1,normal,True,-0.500702509399119,1.3809907813035
16,300,0.5,chi-square,Naive,-0.117583933897041,0.508854012073445
16,300,0.5,chi-square,RC,-0.159437355552696,0.686721412413938
16,300,0.5,chi-square,True,-0.0990069482862756,0.981652097840258
16,300,0.5,normal,Naive,0.011127968511431,0.570511857790331
16,300,0.5,normal,RC,-0.0228682540624661,0.826095429165898
16,300,0.5,normal,True,0.0402216815347402,0.917001167958494
16,300,1,chi-square,Naive,-0.260195832871684,0.451709109224088
16,300,1,chi-square,RC,-0.355030759125907,0.71055286331225
16,300,1,chi-square,True,-0.258353506508748,0.941593736553033
16,300,1,normal,Naive,-0.0459174168884305,0.541494696054186
16,300,1,normal,RC,-0.0442680074834114,1.16926751067437
16,300,1,normal,True,-0.0731521046317396,1.23516373796079
17,100,0.5,chi-square,Naive,0.202391845983204,0.771967462766334
17,100,0.5,chi-square,RC,0.125759091468022,0.948046985964794
17,100,0.5,chi-square,True,0.210469215269475,0.778075589680431
17,100,0.5,normal,Naive,0.164227985277982,0.276749743650974
17,100,0.5,normal,RC,0.164168552417243,0.37792466456171
17,100,0.5,normal,True,0.181289215182217,0.798818972591453
17,100,1,chi-square,Naive,0.243551954639732,0.427722098878652
17,100,1,chi-square,RC,0.195891862469975,0.641774380255513
17,100,1,chi-square,True,0.205594354180567,0.819613067683304
17,100,1,normal,Naive,-0.0990484289068938,0.489925615632101
17,100,1,normal,RC,-0.188053676576994,0.900320779788956
17,100,1,normal,True,-0.189363990687055,1.47747132841462
17,300,0.5,chi-square,Naive,-0.043120591632552,0.635235237383113
17,300,0.5,chi-square,RC,-0.0644035528954167,0.736886721865581
17,300,0.5,chi-square,True,-0.0807379004324807,0.907799788820485
17,300,0.5,normal,Naive,-0.0616019938194667,0.630730756137762
17,300,0.5,normal,RC,-0.0695671548698342,0.931077932404808
17,300,0.5,normal,True,-0.0299575700753605,0.868645724898576
17,300,1,chi-square,Naive,0.0758853536375422,0.340449412839467
17,300,1,chi-square,RC,0.0348336138784267,0.514150694717234
17,300,1,chi-square,True,0.0700043716704817,0.85482929004688
17,300,1,normal,Naive,-0.0833545156183515,0.730355157599181
17,300,1,normal,RC,-0.104103959339694,1.47270575857171
17,300,1,normal,True,-0.0213005892553443,1.20366297161657
18,100,0.5,chi-square,Naive,0.141882581974837,0.89239384713193
18,100,0.5,chi-square,RC,0.0831211637125609,1.1538153535207
18,100,0.5,chi-square,True,0.0902064785623081,0.994858478347439
18,100,0.5,normal,Naive,0.164931349838881,0.658335082378771
18,100,0.5,normal,RC,0.185532685447316,0.990108504722726
18,100,0.5,normal,True,0.189146385183061,1.1153866091552
18,100,1,chi-square,Naive,-0.159582266303732,0.445828429947973
18,100,1,chi-square,RC,-0.216256663521934,0.587645815530525
18,100,1,chi-square,True,-0.223057155689516,1.08093129823384
18,100,1,normal,Naive,0.208317082298323,0.479035628304453
18,100,1,normal,RC,0.0809071331347854,1.0643239687079
18,100,1,normal,True,0.21520512228896,1.39088255633964
18,300,0.5,chi-square,Naive,0.03056354368344,0.627299013544215
18,300,0.5,chi-square,RC,-0.00322641399473402,0.806810859113068
18,300,0.5,chi-square,True,0.027920635833763,0.933645755317186
18,300,0.5,normal,Naive,0.0901676396371564,0.675450271855877
18,300,0.5,normal,RC,0.0869877903351597,0.998325077834813
18,300,0.5,normal,True,0.164641755586993,1.27569192701768
18,300,1,chi-square,Naive,-0.0211499391368413,0.381626456795209
18,300,1,chi-square,RC,-0.0511760597123812,0.566683463029146
18,300,1,chi-square,True,0.0352584329991697,1.18819826541797
18,300,1,normal,Naive,-0.119819158113664,0.484892783549373
18,300,1,normal,RC,-0.122256222165902,1.08875517881015
18,300,1,normal,True,-0.155154968949532,0.953359336861275
19,100,0.5,chi-square,Naive,0.207610072704054,0.670278218826765
19,100,0.5,chi-square,RC,0.142218935451571,0.784513226662028
19,100,0.5,chi-square,True,0.179026829076062,1.14416126862111
19,100,0.5,normal,Naive,-0.081143813738912,0.754278861577274
19,100,0.5,normal,RC,-0.109869367385037,1.27893143547605
19,100,0.5,normal,True,-0.00705291735966523,1.15830651536687
19,100,1,chi-square,Naive,-0.288842230765208,0.626814060159336
19,100,1,chi-square,RC,-0.377645430482841,0.856083141326024
19,100,1,chi-square,True,-0.336969307966159,1.43298035428676
19,100,1,normal,Naive,0.362787118171052,0.164458954793885
19,100,1,normal,RC,0.357661698400607,0.316453444420152
19,100,1,normal,True,0.34569318739457,0.819799991430897
19,300,0.5,chi-square,Naive,0.373247772974155,0.6362790380741
19,300,0.5,chi-square,RC,0.335486104354772,0.819589487151737
19,300,0.5,chi-square,True,0.457768352251368,1.47080963983479
19,300,0.5,normal,Naive,-0.0782344071263639,0.588173542015697
19,300,0.5,normal,RC,-0.0621767165432773,0.917167426807768
