SIM,N,SIGMA2,XDIST,METHOD,alpha_hat,beta_hat
1,200,0.5,normal,CS,-0.00773752981338375,0.871359421528592
1,200,0.5,normal,Naive,0.085614022768412,0.650242651845995
1,200,0.5,normal,True,-0.00371274082380729,0.935884910402241
2,200,0.5,normal,CS,-0.00627535623014425,0.839374448388764
2,200,0.5,normal,Naive,0.0826245777878869,0.583551293311478
2,200,0.5,normal,True,-0.0590265272987982,1.00475728773945
3,200,0.5,normal,CS,0.112207063307034,0.956147622807028
3,200,0.5,normal,Naive,0.267191366552984,0.630204422116802
3,200,0.5,normal,True,0.0481029995879848,0.960484771046325
4,200,0.5,normal,CS,0.0466169841048094,1.02099031269035
4,200,0.5,normal,Naive,0.209363059714882,0.564412790337424
4,200,0.5,normal,True,0.00764014399286438,0.999351284403515
5,200,0.5,normal,CS,-0.214283255763429,1.07016798380503
5,200,0.5,normal,Naive,-0.0339712529767113,0.825988221307748
5,200,0.5,normal,True,-0.149547514276005,1.06417410543873
6,200,0.5,normal,CS,-2.76845358432581e+53,5.40602819120997e+53
6,200,0.5,normal,Naive,0.248649983856421,0.597814690852167
6,200,0.5,normal,True,0.136619394197937,0.916766174957717
7,200,0.5,normal,CS,-0.117060116772343,0.958867039265782
7,200,0.5,normal,Naive,-0.0016165913264818,0.652019434786644
7,200,0.5,normal,True,-0.0374845218013556,0.895260666738513
8,200,0.5,normal,CS,0.0849367883286734,1.02949376817321
8,200,0.5,normal,Naive,0.237265190464033,0.588862816640485
8,200,0.5,normal,True,0.100499394914533,0.89578651326848
9,200,0.5,normal,CS,-0.00914470024473965,0.895410166148408
9,200,0.5,normal,Naive,0.110279928351599,0.587666458249542
9,200,0.5,normal,True,0.0188923514018196,0.886840481677453
10,200,0.5,normal,CS,-0.260562049621662,1.30202852289945
10,200,0.5,normal,Naive,0.0656791047720616,0.741203060708086
10,200,0.5,normal,True,0.031951347317198,0.999163708102289
11,200,0.5,normal,CS,0.0501910643918628,1.07873015962238
11,200,0.5,normal,Naive,0.262784308014107,0.57326461774368
11,200,0.5,normal,True,0.0931455479541701,0.964833849437274
12,200,0.5,normal,CS,0.0329962969170629,1.12596819206237
12,200,0.5,normal,Naive,0.271334838248904,0.63039449668313
12,200,0.5,normal,True,0.0764328229611386,0.983556017655425
13,200,0.5,normal,CS,-0.145498679634262,1.32617890476741
13,200,0.5,normal,Naive,0.196983858908578,0.684460972055323
13,200,0.5,normal,True,0.0480370367167824,1.00579833523269
14,200,0.5,normal,CS,0.0261338115307812,0.856307169236218
14,200,0.5,normal,Naive,0.105683499916565,0.614989064642765
14,200,0.5,normal,True,-0.073073515724622,1.01178268955522
15,200,0.5,normal,CS,-0.110138824145784,1.0511461632034
15,200,0.5,normal,Naive,0.128326446693846,0.625191632031979
15,200,0.5,normal,True,-0.0563441465214783,0.980948460243804
16,200,0.5,normal,CS,-0.344802390903747,1.44073189348298
16,200,0.5,normal,Naive,0.175324813944715,0.668391824508296
16,200,0.5,normal,True,-0.0636620177937413,1.0611851876724
17,200,0.5,normal,CS,0.111610564691115,0.899568170926925
17,200,0.5,normal,Naive,0.173345299584922,0.737045943154892
17,200,0.5,normal,True,0.111135436896541,0.966595072831192
18,200,0.5,normal,CS,-0.143364195495928,1.07514979567891
18,200,0.5,normal,Naive,0.122573800880575,0.665713148081918
18,200,0.5,normal,True,-0.0116624585544664,0.967433165024525
19,200,0.5,normal,CS,0.162140347861829,0.830119634782083
19,200,0.5,normal,Naive,0.218826876135586,0.646298564771594
19,200,0.5,normal,True,0.0657204930129098,0.997353331580249
20,200,0.5,normal,CS,-0.119409175354712,1.42373186490758
20,200,0.5,normal,Naive,0.138692665070333,0.772063976071043
20,200,0.5,normal,True,-0.1091216078865,1.08234796112033
21,200,0.5,normal,CS,0.0838264051664033,1.0629998678046
21,200,0.5,normal,Naive,0.185138457033967,0.681623499655675
21,200,0.5,normal,True,0.0504770416214742,0.95730974521271
22,200,0.5,normal,CS,-0.0220654641751666,1.01149196878068
22,200,0.5,normal,Naive,0.19238417324712,0.675668214222648
22,200,0.5,normal,True,-0.000638653521427111,1.07239265456333
23,200,0.5,normal,CS,-0.198526675491037,1.16330782274277
23,200,0.5,normal,Naive,0.124593660547935,0.663763103230176
23,200,0.5,normal,True,0.0282752467157468,1.0115415135255
24,200,0.5,normal,CS,-0.172646806311198,1.31450707468309
24,200,0.5,normal,Naive,0.222705472031499,0.705130276322894
24,200,0.5,normal,True,-0.00855895558121261,1.04504753634158
25,200,0.5,normal,CS,0.0979080927194367,0.98250103486794
25,200,0.5,normal,Naive,0.210886614101815,0.696370896751516
25,200,0.5,normal,True,0.0259556727979139,0.937782271142681
26,200,0.5,normal,CS,0.00263789838573043,0.842492096230543
26,200,0.5,normal,Naive,0.110696123318053,0.573391441746368
26,200,0.5,normal,True,-0.0112713258694789,0.970123874210871
27,200,0.5,normal,CS,-0.150202979618347,1.12888217212067
27,200,0.5,normal,Naive,0.139601954228146,0.706479856198771
27,200,0.5,normal,True,-0.0703396301733388,1.05860489819369
28,200,0.5,normal,CS,-0.103958770249453,0.988663889357709
28,200,0.5,normal,Naive,0.0945704901650644,0.664472427647278
28,200,0.5,normal,True,-0.0173343689350002,0.973794719403346
29,200,0.5,normal,CS,0.0518052900334131,0.958273019900999
29,200,0.5,normal,Naive,0.162888990514221,0.645960682615856
29,200,0.5,normal,True,0.00291155056548541,0.943531594918128
30,200,0.5,normal,CS,0.120224697090062,0.853043010567805
30,200,0.5,normal,Naive,0.199159811448192,0.646554370934655
30,200,0.5,normal,True,0.0510708089169286,0.98927719981438
31,200,0.5,normal,CS,0.0445035236585608,0.986172717214334
31,200,0.5,normal,Naive,0.266013471072258,0.687771933907405
31,200,0.5,normal,True,0.0701095737661837,0.990216573556938
32,200,0.5,normal,CS,0.045140129478084,0.938515476533549
32,200,0.5,normal,Naive,0.109582887728318,0.698664817563938
32,200,0.5,normal,True,-0.0830570123073441,1.03146450098281
33,200,0.5,normal,CS,-0.112787510940756,1.22148730583491
33,200,0.5,normal,Naive,0.19534804795162,0.689260541767075
33,200,0.5,normal,True,-0.080719964910897,1.07886327653404
34,200,0.5,normal,CS,-0.0312477136892174,1.32843976948488
34,200,0.5,normal,Naive,0.206032154871123,0.666843519279171
34,200,0.5,normal,True,-0.0608932295114973,1.08331568681415
35,200,0.5,normal,CS,-0.0222447979819023,1.16058472517727
35,200,0.5,normal,Naive,0.21125273046342,0.742172013102574
35,200,0.5,normal,True,0.0482401617978244,0.979529090180243
36,200,0.5,normal,CS,-0.11481265587552,1.02665231352094
36,200,0.5,normal,Naive,0.0554552232958697,0.750275277129632
36,200,0.5,normal,True,-0.112726565907903,1.04420840206992
37,200,0.5,normal,CS,-0.0297337345602531,0.957295724685771
37,200,0.5,normal,Naive,0.133309565710103,0.600424765294569
37,200,0.5,normal,True,-0.010085682999287,0.970819009899199
38,200,0.5,normal,CS,-0.0621341554314442,0.933800332782472
38,200,0.5,normal,Naive,0.0738613875068752,0.634257381586009
38,200,0.5,normal,True,-0.00736592254396368,1.03045496118614
39,200,0.5,normal,CS,-0.0195575991743736,1.07484207728779
39,200,0.5,normal,Naive,0.244893614431823,0.691205704149203
39,200,0.5,normal,True,0.0828502075759465,0.930555638719174
40,200,0.5,normal,CS,-0.297500036684872,1.31122591513685
40,200,0.5,normal,Naive,0.162429515044456,0.694047409062594
40,200,0.5,normal,True,-0.0487389918940503,1.08151537082561
41,200,0.5,normal,CS,-0.221024608791943,1.33627779263493
41,200,0.5,normal,Naive,0.104830276141277,0.677396892052576
41,200,0.5,normal,True,-0.00505215546343309,1.08298220756233
42,200,0.5,normal,CS,-0.35369792409447,1.4316391736115
42,200,0.5,normal,Naive,0.0209926996040004,0.782025902799752
42,200,0.5,normal,True,-0.187582505662228,1.13140349932867
43,200,0.5,normal,CS,-0.0294805292812356,0.858867007874445
43,200,0.5,normal,Naive,0.0559366449534739,0.649721349478949
43,200,0.5,normal,True,-0.0491830874696741,1.02007336073204
44,200,0.5,normal,CS,-0.04824595577829,1.07415587859301
44,200,0.5,normal,Naive,0.115483969923116,0.702587013240262
44,200,0.5,normal,True,-0.0395379150875139,1.01619478255496
45,200,0.5,normal,CS,-0.0571622681695983,1.1197429790691
45,200,0.5,normal,Naive,0.204799717751237,0.670441607489876
45,200,0.5,normal,True,0.04599732036209,1.03143060880819
46,200,0.5,normal,CS,-0.0559133501153324,0.977332077265163
46,200,0.5,normal,Naive,0.21263283128735,0.614822408201204
46,200,0.5,normal,True,0.0518811149843689,0.979272328185816
47,200,0.5,normal,CS,-0.0764119391775999,1.03054240634756
47,200,0.5,normal,Naive,0.0665455908520934,0.68829670401662
47,200,0.5,normal,True,-0.120293674439745,1.06694792109049
48,200,0.5,normal,CS,0.0799736879712221,0.842667290285231
48,200,0.5,normal,Naive,0.214649099739505,0.538003826134441
48,200,0.5,normal,True,0.0630577161095201,0.947944885188487
49,200,0.5,normal,CS,0.0727978737518126,1.02673711815347
49,200,0.5,normal,Naive,0.224942511107573,0.590132474059695
49,200,0.5,normal,True,0.00228468697485214,0.966183943707868
50,200,0.5,normal,CS,-0.0452671434300866,1.38202161944256
50,200,0.5,normal,Naive,0.182866940242546,0.727681919527969
50,200,0.5,normal,True,-0.0660769970960515,1.01231544880462
51,200,0.5,normal,CS,-0.382410328958916,1.37173654212706
51,200,0.5,normal,Naive,-0.00397814428781554,0.837648769501305
51,200,0.5,normal,True,-0.0590742249057794,1.06208432073731
52,200,0.5,normal,CS,0.0632318888290661,0.918452279998073
52,200,0.5,normal,Naive,0.207681817092941,0.63057530743611
52,200,0.5,normal,True,0.0285910885177482,1.04486355582979
53,200,0.5,normal,CS,0.0503534160149661,0.916511060144134
53,200,0.5,normal,Naive,0.157210504559947,0.61405395326647
53,200,0.5,normal,True,-0.00099781736971794,1.0025809493922
54,200,0.5,normal,CS,-0.00895699370682397,0.868909669330405
54,200,0.5,normal,Naive,0.14261320757952,0.578486801796122
54,200,0.5,normal,True,-0.068491090873258,1.01191732446835
55,200,0.5,normal,CS,0.194517718293577,0.837405577194793
55,200,0.5,normal,Naive,0.300791538645688,0.575356954429785
55,200,0.5,normal,True,0.0560861321220358,0.942357935462659
56,200,0.5,normal,CS,0.0337902699651424,0.814798101327087
56,200,0.5,normal,Naive,0.187815286161598,0.498425986442834
56,200,0.5,normal,True,0.0368863457401572,0.981256481771688
57,200,0.5,normal,CS,-0.233573687482156,1.28564673733657
57,200,0.5,normal,Naive,0.0951007430029479,0.799868323213673
57,200,0.5,normal,True,-0.0379168930391324,1.04281495104028
58,200,0.5,normal,CS,-0.270599022749,1.19490177393804
