SIM,LAMBDA,alpha,beta
19,1,-0.0439503712710199,0.456171778832476
19,1.1,-0.033883463990487,0.501234781812935
19,1.2,-0.0138202135774828,0.490979649208659
19,1.3,-0.0256839988784282,0.375177266004387
19,1.4,-0.00572384700219262,0.440969198565105
19,1.5,-0.0229879683533449,0.382598999735072
19,1.6,-0.0474918609119037,0.492971583455504
19,1.7,-0.00871739651468436,0.3922072086613
19,1.8,-0.0489784315405766,0.450643987084442
19,1.9,-0.0217685171502159,0.346345934131617
19,2,-0.0548087674385778,0.35951121626267
20,0,-0.0352475941193883,0.602708588599198
20,0.1,-0.0312989810601773,0.58830647227394
20,0.2,-0.0312324417712343,0.570121180921228
20,0.3,-0.0172432932413629,0.542285813983034
20,0.4,-0.0296446392065645,0.561504636249105
20,0.5,-0.0309653795486206,0.51041953183464
20,0.6,-0.0366903076284378,0.577018542345757
20,0.7,-0.0455384603116582,0.497825144998047
20,0.8,-0.0535850245491618,0.44618949002636
20,0.9,-0.0324484839773154,0.53759484841558
20,1,-0.00686593389472488,0.350560868664294
20,1.1,-0.0467951836078491,0.436558365245418
20,1.2,-0.0462326592846962,0.352930281580222
20,1.3,-0.0307991596515166,0.356868697778291
20,1.4,-0.0316295006460167,0.350342873806179
20,1.5,-0.0282658685329399,0.379149916498812
20,1.6,-0.0452951480500151,0.455145041192547
20,1.7,-0.0337669748679122,0.343098027009747
20,1.8,-0.0406615582675852,0.375856914422301
20,1.9,-0.0120333562889563,0.279488407482128
20,2,0.0109902998043178,0.329368400011493
21,0,-0.0352475941193883,0.602708588599198
21,0.1,-0.0233947947424735,0.573505198959486
21,0.2,-0.0270160468280766,0.557584820029188
21,0.3,-0.0120112534644774,0.548362031123131
21,0.4,-0.0393804223030514,0.50610429656764
21,0.5,-0.0526779306450115,0.489363002879469
21,0.6,-0.0233901886614679,0.42776269566534
21,0.7,-0.0266695472759666,0.427119689133269
21,0.8,-0.0148209595445074,0.49639854183438
21,0.9,-0.0432033870455094,0.477691288372679
21,1,-0.0196894069530637,0.386898796989547
21,1.1,-0.0488595730446434,0.424953258618808
21,1.2,-0.0315505333257701,0.449040387332562
21,1.3,-0.0410188528978213,0.436607922205135
21,1.4,-0.0249186190088111,0.34766796751305
21,1.5,-0.0330942415581271,0.299517511371272
21,1.6,-0.0508679314778383,0.356012357811802
21,1.7,-0.032671450317443,0.285782854274916
21,1.8,-0.000362080410719428,0.342656598905631
21,1.9,-0.0177019576213532,0.328603554504111
21,2,-0.0738980269618944,0.367583997639417
22,0,-0.0352475941193883,0.602708588599198
22,0.1,-0.016692367220237,0.615035761510132
22,0.2,-0.0171325154370092,0.556967924866434
22,0.3,-0.01637989010058,0.552892952977022
22,0.4,-0.0281252608201327,0.504893655404215
22,0.5,-0.0318663082681538,0.535776549198781
22,0.6,-0.0262300313577276,0.443841867501151
22,0.7,-0.027875262056465,0.505122537219297
22,0.8,-0.0571641271343335,0.525116465242592
22,0.9,-0.0344628037245363,0.469623749306109
22,1,-0.0466546127178193,0.432697230581374
22,1.1,-0.020026989400874,0.424973301812254
22,1.2,-0.0110743252961217,0.427999979333694
22,1.3,-0.021734580587277,0.318755995378857
22,1.4,-0.0198177789258478,0.343756473053875
22,1.5,-0.0631397306002176,0.435282558329694
22,1.6,-0.032707032205796,0.368576521793965
22,1.7,-0.00775260831799917,0.473891714763828
22,1.8,-0.0130438012207622,0.362531863368413
22,1.9,-0.0170446169845643,0.353990196931318
22,2,0.0206178360686551,0.394290720728097
23,0,-0.0352475941193883,0.602708588599198
23,0.1,-0.0280926208716533,0.547385826483328
23,0.2,-0.0455348495945845,0.497026596408425
23,0.3,-0.0301722412231751,0.535576132627123
23,0.4,-0.0413441331143534,0.472178490636047
23,0.5,-0.0388347811032526,0.539516468309219
23,0.6,-0.0344126338979165,0.493157333372008
23,0.7,-0.0462113492330268,0.444065744607173
23,0.8,-0.0359948755018957,0.466784766601215
23,0.9,-0.00709809450722642,0.429521731380711
23,1,0.0125768038498182,0.449361194268726
23,1.1,-0.0658526450645992,0.455224156747617
23,1.2,-0.0353169455921959,0.406120892672875
23,1.3,-0.0677737238642703,0.447287983496074
23,1.4,-0.0399631670247878,0.321087144417012
23,1.5,-0.0496849915737901,0.322801098194583
23,1.6,-0.0120954199528613,0.320749135451459
23,1.7,-0.0191160982843063,0.36698640999963
23,1.8,-0.0159442906310662,0.38183160016517
23,1.9,-0.0499725928980219,0.368018765909888
23,2,-0.00705599296884752,0.25229532139927
24,0,-0.0352475941193883,0.602708588599198
24,0.1,-0.0421721867830588,0.562295789646695
24,0.2,-0.036877956423691,0.539996728327812
24,0.3,-0.0329870659130828,0.56782518954553
24,0.4,-0.0139855804623848,0.496991808188166
24,0.5,-0.0316327636132944,0.467788141839196
24,0.6,-0.0381498408491911,0.532721620026058
24,0.7,-0.0447586590612362,0.467833304440982
24,0.8,-0.0691215389972954,0.440605008218727
24,0.9,-0.0267268950443618,0.388843712929158
24,1,-0.0442839831058689,0.55248591441816
24,1.1,-0.010918068506721,0.428998296319895
24,1.2,-0.049624006730048,0.391857129420675
24,1.3,-0.0112724654028131,0.412337119041588
24,1.4,-0.0247367570044965,0.403285551628407
24,1.5,-0.0596334022446868,0.528793438127052
24,1.6,-0.0698852035173112,0.464956721692759
24,1.7,-0.037305867034056,0.434848107412912
24,1.8,-0.025652030481512,0.429992810025596
24,1.9,-0.0343879208233886,0.379379852187803
24,2,-0.0351282313304715,0.234995978547892
25,0,-0.0352475941193883,0.602708588599198
25,0.1,-0.0356967755166649,0.608946660885765
25,0.2,-0.0471492874858642,0.598321098437781
25,0.3,-0.0457757405046386,0.559048907994046
25,0.4,-0.0279567288097906,0.492982244566756
25,0.5,-0.0127703370116221,0.464724745810372
25,0.6,-0.0350431411309281,0.505668014676458
25,0.7,-0.0374330339842147,0.458300420957329
25,0.8,-0.0175253686603848,0.432815870619459
25,0.9,-0.0535805415175305,0.495948334583153
25,1,-0.00143772962736412,0.379488256699577
25,1.1,-0.01980394817617,0.45199745350268
25,1.2,-0.000496390959668447,0.370545015432018
25,1.3,-0.0283052505351521,0.426669531957421
25,1.4,-0.0461688518958518,0.376169097749656
25,1.5,-0.0333198534627367,0.378478793012528
25,1.6,0.00451264466431752,0.3921379290539
25,1.7,-0.0182684466000556,0.421603637398944
25,1.8,0.00253171571621567,0.299230901577748
25,1.9,-0.00815536564454187,0.276613713602007
25,2,-0.0210621592285465,0.354923884618249
26,0,-0.0352475941193883,0.602708588599198
26,0.1,-0.0373846254661596,0.569493520476306
26,0.2,-0.0190750444959474,0.484298602808052
26,0.3,-0.0271129158000525,0.5622556020538
26,0.4,-0.0132801866859234,0.521119607384565
26,0.5,-0.0184668045243901,0.465927558313721
26,0.6,-0.0367631451074166,0.437716935437818
26,0.7,-0.013981582087624,0.461730992229824
26,0.8,0.00284576823416432,0.388190674816062
26,0.9,-0.00435514799981382,0.429071686911012
26,1,-0.0356967013750991,0.478206445450105
26,1.1,-0.0403432521423139,0.402009071625129
26,1.2,-0.0367023276681633,0.371628885046897
26,1.3,-0.0601625851194918,0.411562055419607
26,1.4,-0.0403059840903866,0.393976372598955
26,1.5,-0.0270996778131383,0.384121464701544
26,1.6,-0.0297658472546686,0.50355347702288
26,1.7,-0.0338983574007795,0.422404786337803
26,1.8,-0.0386057524251925,0.302553243539366
26,1.9,-0.00274073663892514,0.285577946700631
26,2,0.0122591424314947,0.327769727669059
27,0,-0.0352475941193883,0.602708588599198
27,0.1,-0.0314031062558132,0.604663803036873
27,0.2,-0.0276732270716411,0.54720135443465
27,0.3,-0.0468181479218756,0.510334364441955
27,0.4,-0.0152173325960766,0.551806860005233
27,0.5,-0.0241295439255998,0.508493309909066
27,0.6,-0.00454487491685223,0.471460245997522
27,0.7,-0.0163888048381014,0.482243739871255
27,0.8,-0.058480047483041,0.521772597475073
27,0.9,-0.0365306919057208,0.467935089277733
27,1,-0.0431346549896462,0.338868161092387
27,1.1,-0.0515622252819456,0.487875366444228
27,1.2,-0.0398339163738534,0.396700329032981
27,1.3,-0.00666675411277906,0.500963190975361
27,1.4,-0.0437902880746195,0.327961436242831
27,1.5,-0.0245092651186857,0.309975027353129
27,1.6,-0.0378483142281452,0.404919333997143
27,1.7,-0.0193583926851104,0.319432741486015
27,1.8,-0.0350666522702444,0.249017035867565
27,1.9,-0.0276212533828448,0.302375861611685
27,2,-0.00571193226283376,0.291899101667802
28,0,-0.0352475941193883,0.602708588599198
28,0.1,-0.0405062178699627,0.615264896769339
28,0.2,-0.050173720121726,0.574645918787422
28,0.3,-0.0489368887639556,0.52608332129116
28,0.4,-0.0180899802492451,0.532788921576501
28,0.5,-0.0408694463208471,0.46566977448176
28,0.6,-0.0144348952413011,0.496318733106064
28,0.7,-0.0508862365636881,0.489465912711268
28,0.8,-0.0456657803888558,0.481675642112317
28,0.9,-0.0218539244369267,0.418835426258706
28,1,-0.0163686430448605,0.442887507259567
28,1.1,-0.00827813043312013,0.368998722295952
28,1.2,-0.0281063677839647,0.365209046283296
28,1.3,-0.0334667809196294,0.424694896130417
28,1.4,-0.0133692574029035,0.310501196574905
28,1.5,-0.0147265100854502,0.312652097863662
28,1.6,-0.022081964784937,0.336976785456785
28,1.7,-0.0447563367714913,0.351602349141007
28,1.8,-0.00599623120489326,0.269884645531363
28,1.9,-0.0299365705406597,0.402575596500166
28,2,-0.0272816925664169,0.350855882965908
29,0,-0.0352475941193883,0.602708588599198
29,0.1,-0.0393169989740596,0.576999033012103
29,0.2,-0.0290057810532071,0.547119105147155
