SIM,N,SIGMA2,XDIST,METHOD,alpha_hat,beta_hat
1,100,0.5,chi-square,CS,-0.14362303221519,1.25451307812001
1,100,0.5,chi-square,Naive,-0.16865444466605,0.58265639353279
1,100,0.5,chi-square,RC,-0.211397432542038,0.782090069808755
1,100,0.5,chi-square,True,-0.231028633832151,0.819326481034424
1,100,0.5,normal,CS,0.253854729091838,0.643177077868192
1,100,0.5,normal,Naive,0.21463319204077,0.394391976400439
1,100,0.5,normal,RC,0.241409720312056,0.629969585465146
1,100,0.5,normal,True,0.228834898057802,1.20125749620737
1,100,1,chi-square,CS,0.00331748282460815,1.10285442106674
1,100,1,chi-square,Naive,-0.0728180085663781,0.556587550660294
1,100,1,chi-square,RC,-0.138959688158027,0.744848743022323
1,100,1,chi-square,True,-0.0474421503081637,1.31338749591665
1,100,1,normal,CS,-0.0779963912653,0.700411123121513
1,100,1,normal,Naive,-0.0983045137900192,0.430549326281983
1,100,1,normal,RC,-0.112098382509183,0.709124295693285
1,100,1,normal,True,0.06861702463138,1.19941186195914
1,300,0.5,chi-square,CS,0.209695139569021,1.13159482150268
1,300,0.5,chi-square,Naive,0.187967145614706,0.597290695835486
1,300,0.5,chi-square,RC,0.141282989396159,0.740663724673484
1,300,0.5,chi-square,True,0.19738505645272,1.22049844059638
1,300,0.5,normal,CS,4.58221740722656,38.9221801757813
1,300,0.5,normal,Naive,0.0933653435101111,0.86281238290083
1,300,0.5,normal,RC,0.122723614816611,1.2899745487339
1,300,0.5,normal,True,0.0505529386111754,1.35551859064819
1,300,1,chi-square,CS,-0.0645402941053883,3.91523089112643
1,300,1,chi-square,Naive,-0.0334370813426671,0.536319549654308
1,300,1,chi-square,RC,-0.108158875754487,0.881092366436923
1,300,1,chi-square,True,-0.0436886816329833,1.21031018185974
1,300,1,normal,CS,-0.24784605995623,3.03485950441338
1,300,1,normal,Naive,-0.0561670257184151,0.532864380214651
1,300,1,normal,RC,-0.0821006065325205,1.06960263584224
1,300,1,normal,True,-0.0136232856356357,1.11404353325612
2,100,0.5,chi-square,CS,0.112678835469017,1.69140299737902
2,100,0.5,chi-square,Naive,0.0429998908336416,0.701605981828646
2,100,0.5,chi-square,RC,-0.0124396144317131,0.822683817990654
2,100,0.5,chi-square,True,0.16656641333385,1.46708038271533
2,100,0.5,normal,CS,-0.0554980734041986,0.990980306746224
2,100,0.5,normal,Naive,-0.024325998401016,0.564779476631192
2,100,0.5,normal,RC,-0.0698928566919593,0.912012850563793
2,100,0.5,normal,True,0.0370168391663827,0.734577022894696
2,100,1,chi-square,CS,1.73815990011383,3.89925206496551
2,100,1,chi-square,Naive,0.56930996355426,0.414126045497396
2,100,1,chi-square,RC,0.522509438350934,0.661994633850176
2,100,1,chi-square,True,0.57249846721462,0.986397107497593
2,100,1,normal,CS,0.200453092402411,0.986900087774309
2,100,1,normal,Naive,0.247913781142015,0.362076696416575
2,100,1,normal,RC,0.16329300969234,0.991519274621713
2,100,1,normal,True,0.210794924793079,1.12568664634271
2,300,0.5,chi-square,CS,-0.040834112089305,0.831426564816109
2,300,0.5,chi-square,Naive,-0.0629733962482699,0.554387081233622
2,300,0.5,chi-square,RC,-0.0912481292474373,0.662542253953216
2,300,0.5,chi-square,True,-0.0900519723218951,1.01360803165741
2,300,0.5,normal,CS,0.0613595052650329,1.17604762835464
2,300,0.5,normal,Naive,0.0692574832558944,0.725834224330336
2,300,0.5,normal,RC,0.0576726665541786,1.09126960646073
2,300,0.5,normal,True,0.0581739285913204,0.993288502726434
