SIM,N,SIGMA2,XDIST,METHOD,alpha_hat,beta_hat
2,300,1,chi-square,CS,-0.195212621890799,0.675918840677466
2,300,1,chi-square,Naive,-0.225411043973312,0.33107154216124
2,300,1,chi-square,RC,-0.231402430760988,0.539584984235165
2,300,1,chi-square,True,-0.22212100855546,0.836374000791177
2,300,1,normal,CS,-0.0566402370058967,1.30851057157807
2,300,1,normal,Naive,-0.0271601288173647,0.534506565133045
2,300,1,normal,RC,-0.0156804488568154,1.16053648142206
2,300,1,normal,True,-0.0805410995889622,1.10356710739149
3,100,0.5,chi-square,CS,0.253078241811971,1.26755058155084
3,100,0.5,chi-square,Naive,0.112678443048442,0.622174583204516
3,100,0.5,chi-square,RC,0.0873414910088644,0.799095260180174
3,100,0.5,chi-square,True,0.215227488934905,1.52973497487646
3,100,0.5,normal,CS,0.0574749218478918,0.559950111134291
3,100,0.5,normal,Naive,0.0662596907737711,0.350034005855926
3,100,0.5,normal,RC,0.0563020524234989,0.552698622507987
3,100,0.5,normal,True,-0.029415966771072,1.00070342060449
3,100,1,chi-square,CS,-0.383101230087681,1.087922637708
3,100,1,chi-square,Naive,-0.338386360564095,0.528420513616193
3,100,1,chi-square,RC,-0.388220206287375,0.873773608783345
3,100,1,chi-square,True,-0.386100748354326,0.853989805640243
3,100,1,normal,CS,0.150735248589812,0.545723391811612
3,100,1,normal,Naive,0.177028763328864,0.264936624955544
3,100,1,normal,RC,0.151374000089348,0.489974222289599
3,100,1,normal,True,0.0488386866598287,0.861805376159414
3,300,0.5,chi-square,CS,-0.12706521404542,1.17078414122474
3,300,0.5,chi-square,Naive,-0.0972227209523668,0.619983772974188
3,300,0.5,chi-square,RC,-0.158810744191235,0.773394888998053
3,300,0.5,chi-square,True,-0.0181914657925729,1.13773231658469
3,300,0.5,normal,CS,0.0373841103011791,0.950978626668249
3,300,0.5,normal,Naive,0.0602961534356703,0.602071683450066
3,300,0.5,normal,RC,0.0304836088773338,0.906261445523316
3,300,0.5,normal,True,0.0441864184656,0.94830683742054
3,300,1,chi-square,CS,-0.0597840768947544,1.05918767952198
3,300,1,chi-square,Naive,-0.076382181245806,0.501345712834626
3,300,1,chi-square,RC,-0.145614535007586,0.674958702150646
3,300,1,chi-square,True,-0.0815061542169337,1.08859468887007
3,300,1,normal,CS,-0.247861100017879,1.1257343203859
3,300,1,normal,Naive,-0.142863192241543,0.518315054874433
3,300,1,normal,RC,-0.176396084383834,0.991559231440749
3,300,1,normal,True,-0.127197904159423,1.0690585406608
4,100,0.5,chi-square,CS,-0.231546358763036,0.57012761882637
4,100,0.5,chi-square,Naive,-0.208595290392632,0.398649719114451
4,100,0.5,chi-square,RC,-0.237854835248574,0.523334769619902
4,100,0.5,chi-square,True,-0.215159580951322,0.91578976803922
4,100,0.5,normal,CS,-0.190478272753679,0.730695524645886
4,100,0.5,normal,Naive,-0.166900508965483,0.530021723766703
4,100,0.5,normal,RC,-0.17781083802603,0.729863858255149
4,100,0.5,normal,True,-0.146801620541824,0.738660046943957
4,100,1,chi-square,CS,0.384153316359061,0.733682620797673
4,100,1,chi-square,Naive,0.379487934108711,0.33927426119079
4,100,1,chi-square,RC,0.32605193064825,0.491338947600785
4,100,1,chi-square,True,0.434823709162363,0.916110372521528
4,100,1,normal,CS,0.0264720952574111,0.618342600193151
4,100,1,normal,Naive,0.00996827865870193,0.314783705072448
4,100,1,normal,RC,0.0169686927049881,0.601076484272884
4,100,1,normal,True,0.00123400701928869,1.15260198152298
4,300,0.5,chi-square,CS,-0.13816488476357,0.891074443366366
4,300,0.5,chi-square,Naive,-0.158030134560431,0.569899142513823
4,300,0.5,chi-square,RC,-0.187482172156835,0.70468033100896
4,300,0.5,chi-square,True,-0.159583060295463,1.03455190579421
4,300,0.5,normal,CS,-0.144256183271018,0.795989373301487
4,300,0.5,normal,Naive,-0.128135870672013,0.493016670471265
4,300,0.5,normal,RC,-0.145233569803666,0.770665403816308
4,300,0.5,normal,True,-0.166185295268864,0.901627840643085
4,300,1,chi-square,CS,-4.0580078125,29.7744140625
4,300,1,chi-square,Naive,-0.237962239892117,0.591154336419774
4,300,1,chi-square,RC,-0.343513101799332,0.894620065841459
4,300,1,chi-square,True,-0.197362269588378,1.26210634711306
4,300,1,normal,CS,0.0150630167586851,0.904284405804083
4,300,1,normal,Naive,0.019579591350469,0.424065449391349
4,300,1,normal,RC,0.0255531219866753,0.824298582320186
4,300,1,normal,True,0.0240903021480588,1.03216334405187
5,100,0.5,chi-square,CS,0.0641522988386426,1.53751910749124
5,100,0.5,chi-square,Naive,-0.0597220057517974,0.757141506013575
5,100,0.5,chi-square,RC,-0.0491240819212815,1.35114094903029
5,100,0.5,chi-square,True,0.0796442594638876,1.50828406332791
5,100,0.5,normal,CS,0.0501290061016767,0.765084111427042
5,100,0.5,normal,Naive,0.0469514871075492,0.524013360262393
5,100,0.5,normal,RC,0.0482594669233665,0.727661569721558
5,100,0.5,normal,True,0.205534422316282,1.09681453648232
5,100,1,chi-square,CS,-0.144633620748634,0.539618599584998
5,100,1,chi-square,Naive,-0.106152061555904,0.343783244935299
5,100,1,chi-square,RC,-0.15439230997234,0.433484769630562
5,100,1,chi-square,True,-0.172991094001007,0.774321842216821
5,100,1,normal,CS,-0.361235549872819,1.24683689956541
5,100,1,normal,Naive,-0.358764321940833,0.381594930614246
5,100,1,normal,RC,-0.328142593926119,0.776748027321116
5,100,1,normal,True,-0.416992002615963,1.29488379835181
5,300,0.5,chi-square,CS,0.005374041984458,0.954498044133167
5,300,0.5,chi-square,Naive,0.00807605835771012,0.605984663280534
5,300,0.5,chi-square,RC,-0.0398625575216417,0.763883044112974
5,300,0.5,chi-square,True,-0.0261971080615731,0.989830693022826
5,300,0.5,normal,CS,0.0759932663504984,1.1253708408434
5,300,0.5,normal,Naive,0.0552446121689183,0.683496761244583
5,300,0.5,normal,RC,0.0472675741994798,0.987991287175875
5,300,0.5,normal,True,0.101039194789292,1.14866037525048
5,300,1,chi-square,CS,-0.0696148114278761,0.955442410962087
5,300,1,chi-square,Naive,-0.0528950739954159,0.410931765154112
5,300,1,chi-square,RC,-0.10343547571349,0.562269845374614
5,300,1,chi-square,True,-0.063733432994404,0.960308952267328
5,300,1,normal,CS,-0.0165310063690708,0.767842231864181
5,300,1,normal,Naive,-0.0498824196295101,0.359638828027127
5,300,1,normal,RC,-0.015509173841864,0.705958891986098
5,300,1,normal,True,0.00871486370753526,1.1257839089876
6,100,0.5,chi-square,CS,-0.183842691923998,0.967754727422283
6,100,0.5,chi-square,Naive,-0.218728372421403,0.649504262252974
6,100,0.5,chi-square,RC,-0.249773017083444,0.766052880541223
6,100,0.5,chi-square,True,-0.26701116486968,1.34521225349344
6,100,0.5,normal,CS,-0.160889685857717,1.18494552563647
6,100,0.5,normal,Naive,-0.144703366293217,0.752212175748818
6,100,0.5,normal,RC,-0.170116209614144,1.07863036515576
6,100,0.5,normal,True,-0.248718940120093,1.28749712884241
6,100,1,chi-square,CS,-0.254243161935842,1.41553918960338
6,100,1,chi-square,Naive,-0.219628002341363,0.48313145106809
6,100,1,chi-square,RC,-0.318754456102358,0.93086744204514
6,100,1,chi-square,True,-0.19625679334899,0.77179465911917
6,100,1,normal,CS,0.634206007497295,1.62097411214304
6,100,1,normal,Naive,0.55000323913563,0.756270938251649
6,100,1,normal,RC,0.530046233855761,1.40106734373918
6,100,1,normal,True,0.58744643573126,2.11232805751716
6,300,0.5,chi-square,CS,-6.63109130859375,37.5603393554688
6,300,0.5,chi-square,Naive,-0.222633764971535,0.79259617456076
6,300,0.5,chi-square,RC,-0.311106856996283,1.01025005637575
6,300,0.5,chi-square,True,-0.174822959126861,1.42300368240419
6,300,0.5,normal,CS,0.374572978884062,1.23215070758755
6,300,0.5,normal,Naive,0.29147791638521,0.671859833367112
6,300,0.5,normal,RC,0.328236942543402,1.05830352242472
6,300,0.5,normal,True,0.351001439271495,1.00610947701759
6,300,1,chi-square,CS,-0.0971261866173698,1.0352914788146
6,300,1,chi-square,Naive,-0.0726514217470335,0.503936591822386
6,300,1,chi-square,RC,-0.14613047755839,0.736177626598674
6,300,1,chi-square,True,-0.0848368152644496,0.8983965843959
6,300,1,normal,CS,0.231852273746986,1.1541540502618
6,300,1,normal,Naive,0.151813952626345,0.529809437686018
6,300,1,normal,RC,0.180264356139038,1.03527811220886
6,300,1,normal,True,0.186750951810565,0.936590037383225
7,100,0.5,chi-square,CS,0.204270651079287,1.3990267697489
7,100,0.5,chi-square,Naive,0.119908215190481,0.700565859190283
7,100,0.5,chi-square,RC,0.0586689289523549,0.859889395102793
7,100,0.5,chi-square,True,0.157748631205437,1.23535116832406
7,100,0.5,normal,CS,0.225533434619919,1.26247363296421
7,100,0.5,normal,Naive,0.162147129291247,0.748007144776826
7,100,0.5,normal,RC,0.205778323179744,1.19488873649306
7,100,0.5,normal,True,0.197952832925835,0.796963354259104
7,100,1,chi-square,CS,-0.0821938904678341,0.867006936292189
7,100,1,chi-square,Naive,-0.0809554850049208,0.411082846333182
7,100,1,chi-square,RC,-0.125642674485709,0.561720824341616
7,100,1,chi-square,True,-0.124429666598684,0.586099062026954
7,100,1,normal,CS,-0.11658113258271,0.753842169129382
7,100,1,normal,Naive,-0.117942131554167,0.354664682950943
7,100,1,normal,RC,-0.109905599149,0.67826435163106
7,100,1,normal,True,-0.34712566670749,1.11834145121028
7,300,0.5,chi-square,CS,0.105103188413009,0.746905055779152
7,300,0.5,chi-square,Naive,0.0848548301383434,0.459789744038627
7,300,0.5,chi-square,RC,0.0632170942863357,0.548431317465824
7,300,0.5,chi-square,True,0.0905557560641359,0.951030197222111
7,300,0.5,normal,CS,-0.221664912001369,0.833741176356917
7,300,0.5,normal,Naive,-0.192318472760952,0.552363319586091
7,300,0.5,normal,RC,-0.203712712911632,0.795296685984551
7,300,0.5,normal,True,-0.273039596893828,0.940186736116167
7,300,1,chi-square,CS,0.114835670627644,1.63817903977247
7,300,1,chi-square,Naive,-0.053698703462681,0.5610387255517
7,300,1,chi-square,RC,-0.11060851955249,0.919335163201668
7,300,1,chi-square,True,-0.13659529520917,1.17733291251202
7,300,1,normal,CS,-0.0207857059340869,0.947640183205689
7,300,1,normal,Naive,0.0507117806233598,0.432488491782016
7,300,1,normal,RC,-0.0125127171997476,0.857553570120025
7,300,1,normal,True,0.035013638599567,0.850568901793423
8,100,0.5,chi-square,CS,0.0271424682806957,0.677578529157129
8,100,0.5,chi-square,Naive,0.0279017356844946,0.455720883856406
8,100,0.5,chi-square,RC,0.00199207396439084,0.612374167523789
8,100,0.5,chi-square,True,0.0274466536522252,0.795674978392605
8,100,0.5,normal,CS,0.405833881260523,1.08185723196512
8,100,0.5,normal,Naive,0.321502032530895,0.698388300194271
8,100,0.5,normal,RC,0.387941333477738,1.02781563841893
8,100,0.5,normal,True,0.236162412815638,0.867507354651598
8,100,1,chi-square,CS,4.68955078125,26.85380859375
8,100,1,chi-square,Naive,-0.296056283264909,1.27096483080642
8,100,1,chi-square,RC,-0.662514031378606,2.04479265242319
8,100,1,chi-square,True,-0.0736332860202556,1.62066860023332
8,100,1,normal,CS,-1.03733166121168,3.17816044963496
8,100,1,normal,Naive,-0.338303251907453,0.479551466884012
8,100,1,normal,RC,-0.314133822315155,0.847524117570925
8,100,1,normal,True,-0.302685122711638,0.860831217095864
8,300,0.5,chi-square,CS,-0.100811081209477,0.867518951170852
8,300,0.5,chi-square,Naive,-0.0746056793945505,0.579577871048004
8,300,0.5,chi-square,RC,-0.13067640289267,0.71748064781229
8,300,0.5,chi-square,True,-0.0644935528247143,0.864650328272539
8,300,0.5,normal,CS,-0.0424586223209893,0.969873231519241
8,300,0.5,normal,Naive,-0.0492075465166111,0.59644027232984
8,300,0.5,normal,RC,-0.0452190154208965,0.905930932760224
8,300,0.5,normal,True,-0.0387077448205204,0.857183328475745
8,300,1,chi-square,CS,0.00605884628894025,1.17991098117214
8,300,1,chi-square,Naive,0.0669135529517187,0.468349756046736
8,300,1,chi-square,RC,-0.0334927819264766,0.752130772854055
8,300,1,chi-square,True,0.037058796866201,0.998529609506754
8,300,1,normal,CS,-0.135096765501985,1.04721858536929
8,300,1,normal,Naive,-0.0712324538994195,0.483043463503048
8,300,1,normal,RC,-0.112312298849391,0.989295739791569
8,300,1,normal,True,-0.119241061781929,1.16274986321232
9,100,0.5,chi-square,CS,-0.498503628168748,1.09034818127037
9,100,0.5,chi-square,Naive,-0.472321536546691,0.728409672223472
9,100,0.5,chi-square,RC,-0.53162489485567,0.949614451011891
9,100,0.5,chi-square,True,-0.553514057338279,1.26860304560267
9,100,0.5,normal,CS,0.0374601462210432,1.24695944234471
9,100,0.5,normal,Naive,0.0417678319473822,0.775470534209676
9,100,0.5,normal,RC,0.0665655134911267,1.20118928350793
9,100,0.5,normal,True,-0.0400985347978289,1.06454541692047
9,100,1,chi-square,CS,0.246180259157735,0.886316347133857
9,100,1,chi-square,Naive,0.267683977569734,0.42317979359634
9,100,1,chi-square,RC,0.195546644178664,0.609462425012157
9,100,1,chi-square,True,0.217776698483448,1.06239480627417
9,100,1,normal,CS,0.248873038803106,0.926286290795428
9,100,1,normal,Naive,0.30584747438646,0.419033298352085
9,100,1,normal,RC,0.271716575924078,0.80682309686288
9,100,1,normal,True,0.359851605374233,0.96165141848085
9,300,0.5,chi-square,CS,-0.157666855643422,0.695747842932518
9,300,0.5,chi-square,Naive,-0.134675128771936,0.483302629988937
9,300,0.5,chi-square,RC,-0.174633558624893,0.613602671189918
9,300,0.5,chi-square,True,-0.15654614260284,1.07144766460204
9,300,0.5,normal,CS,0.156103420738029,1.25610289051908
9,300,0.5,normal,Naive,0.132332005952441,0.772543037566226
9,300,0.5,normal,RC,0.130532911070488,1.14409072905717
9,300,0.5,normal,True,0.131738623072251,1.05373347284937
9,300,1,chi-square,CS,-0.11003466400755,2.73972915057601
9,300,1,chi-square,Naive,-0.229006700880704,0.596000948475351
9,300,1,chi-square,RC,-0.315383770204332,0.973979788581203
9,300,1,chi-square,True,-0.1565046774468,1.25798702845435
9,300,1,normal,CS,-0.0990642620257357,1.26593969831753
9,300,1,normal,Naive,-0.122931519697032,0.539611272744967
9,300,1,normal,RC,-0.0942976136195339,1.10244182084676
9,300,1,normal,True,-0.112978424232885,1.12330778606934
10,100,0.5,chi-square,CS,0.147761557243802,0.687691458145055
10,100,0.5,chi-square,Naive,0.134700320072249,0.455399501304733
10,100,0.5,chi-square,RC,0.106132823636494,0.561019169467192
10,100,0.5,chi-square,True,0.150867333480231,0.729829636698241
10,100,0.5,normal,CS,-0.140710438041923,1.51090736575028
10,100,0.5,normal,Naive,-0.0601138766474793,0.887198937053247
10,100,0.5,normal,RC,-0.106014345068748,1.19414144836377
10,100,0.5,normal,True,-0.0206975969299057,0.997595002818188
10,100,1,chi-square,CS,0.359819221011862,2.19666001813305
10,100,1,chi-square,Naive,0.0758683140766999,0.284260584260419
10,100,1,chi-square,RC,0.0571884384062778,0.852607129606047
10,100,1,chi-square,True,0.132820974493976,0.789001002613082
10,100,1,normal,CS,4.68955078125,26.85380859375
10,100,1,normal,Naive,0.13531894251086,0.72304567648078
10,100,1,normal,RC,0.115968999297812,1.93018214882052
10,100,1,normal,True,0.165816677279238,1.54426079584073
10,300,0.5,chi-square,CS,-0.24493987580967,0.953109487188366
10,300,0.5,chi-square,Naive,-0.243469182583893,0.584130581299205
10,300,0.5,chi-square,RC,-0.285281930496592,0.761699064936194
10,300,0.5,chi-square,True,-0.211629057719663,1.16633935239436
10,300,0.5,normal,CS,0.250255080415548,1.12509523286018
10,300,0.5,normal,Naive,0.23075283118941,0.685321423593171
10,300,0.5,normal,RC,0.212472836917818,1.00581092654466
10,300,0.5,normal,True,0.145172245291282,1.21269549317341
10,300,1,chi-square,CS,0.0920239146384391,0.752124029580821
10,300,1,chi-square,Naive,0.0914310106199471,0.380057834029779
10,300,1,chi-square,RC,0.0371639433012525,0.585075715473894
10,300,1,chi-square,True,0.061436271646265,1.00286206479812
10,300,1,normal,CS,-0.0240146474566862,0.789317243098236
10,300,1,normal,Naive,-0.0293283580891248,0.389686100143606
10,300,1,normal,RC,-0.0160616290780052,0.774373013510544
10,300,1,normal,True,-0.00242549339701976,0.752185205349063
11,100,0.5,chi-square,CS,0.364644420767946,4.88400948556118
11,100,0.5,chi-square,Naive,-0.114463497535536,0.802691227084504
11,100,0.5,chi-square,RC,-0.206375381338479,1.03082994802383
11,100,0.5,chi-square,True,0.0390132687264508,1.46056050596117
11,100,0.5,normal,CS,-0.0477939503447355,1.54479820733389
11,100,0.5,normal,Naive,0.0798220924737638,0.907421260157424
11,100,0.5,normal,RC,0.0592533791376425,1.28759170878623
11,100,0.5,normal,True,0.0662427850654283,1.19057620257926
11,100,1,chi-square,CS,-0.0785292014494902,0.734840135812877
11,100,1,chi-square,Naive,0.00654410153239675,0.365904055287526
11,100,1,chi-square,RC,-0.0963246024011941,0.57251487753192
11,100,1,chi-square,True,-0.0497710021286398,0.672566927613264
11,100,1,normal,CS,0.248656985306848,0.719343210471575
11,100,1,normal,Naive,0.202084430642889,0.280861798917763
11,100,1,normal,RC,0.251082024466547,0.646745286641724
11,100,1,normal,True,0.17746406883869,0.956553795744139
11,300,0.5,chi-square,CS,0.23168930156749,1.40770601948021
11,300,0.5,chi-square,Naive,0.119422332615426,0.691659448996851
11,300,0.5,chi-square,RC,0.0724218150014006,0.866204102043941
11,300,0.5,chi-square,True,0.146058167048586,0.997997245696667
11,300,0.5,normal,CS,-0.197256033404796,1.38638247243927
11,300,0.5,normal,Naive,-0.140036007600833,0.832378541197739
11,300,0.5,normal,RC,-0.16747217356823,1.26283392158933
11,300,0.5,normal,True,-0.181817501804731,1.20972830226228
11,300,1,chi-square,CS,0.122517263134769,0.769028755239595
11,300,1,chi-square,Naive,0.0823565791299474,0.367349035525907
11,300,1,chi-square,RC,0.0560581906576085,0.552890679465576
11,300,1,chi-square,True,0.114379830102101,1.26897999935903
11,300,1,normal,CS,0.0122323340386757,0.812481305366664
11,300,1,normal,Naive,0.0589954110695588,0.405308916907563
11,300,1,normal,RC,-0.0058947761591798,0.773817487381525
11,300,1,normal,True,0.0463428852038515,0.962156160437953
12,100,0.5,chi-square,CS,0.0907256061954122,0.610399938063113
12,100,0.5,chi-square,Naive,0.122869983837663,0.437176502087949
12,100,0.5,chi-square,RC,0.0783592824038346,0.523937304355767
12,100,0.5,chi-square,True,0.0777705511138154,0.491298001750527
12,100,0.5,normal,CS,0.307477650339865,0.797009558587115
12,100,0.5,normal,Naive,0.236608525134153,0.424732040739385
12,100,0.5,normal,RC,0.29729978856936,0.800116581441508
12,100,0.5,normal,True,0.189098228834387,0.865069603169515
12,100,1,chi-square,CS,0.484814688735638,1.17803294408403
12,100,1,chi-square,Naive,0.527870268639744,0.537745313304959
12,100,1,chi-square,RC,0.394512947459978,0.795430088444016
12,100,1,chi-square,True,0.548811949966672,1.16850831347588
12,100,1,normal,CS,0.0480886653763169,0.649229831092836
12,100,1,normal,Naive,0.040769264777027,0.228354411416075
12,100,1,normal,RC,0.0392925480551572,0.619082935233215
12,100,1,normal,True,0.0211911118678815,0.637561770384523
12,300,0.5,chi-square,CS,-0.0284129371668583,0.761304616340008
12,300,0.5,chi-square,Naive,-0.0271184045886258,0.469640789084118
12,300,0.5,chi-square,RC,-0.0585304201696692,0.591634057411874
12,300,0.5,chi-square,True,-0.0302855765954551,0.786762800950046
12,300,0.5,normal,CS,-0.0150763389918191,0.864980865950799
12,300,0.5,normal,Naive,-0.00400650119681311,0.568113591447893
12,300,0.5,normal,RC,-0.013600369500444,0.84385164586727
12,300,0.5,normal,True,-0.0186221339085094,0.993578519923952
12,300,1,chi-square,CS,-0.227154067884386,0.805100130643107
12,300,1,chi-square,Naive,-0.137299105887047,0.403244738832474
12,300,1,chi-square,RC,-0.241065795196057,0.626095552775993
12,300,1,chi-square,True,-0.128244880387325,0.907421442422207
12,300,1,normal,CS,-3.70057983398439,31.9244979858399
12,300,1,normal,Naive,-0.077278392205805,0.463796343058026
12,300,1,normal,RC,-0.0628945816523731,0.946720539373547
12,300,1,normal,True,-0.0430552770328755,0.971612488840033
13,100,0.5,chi-square,CS,0.349289485451178,0.855621510619872
13,100,0.5,chi-square,Naive,0.298257634836018,0.469093849419611
13,100,0.5,chi-square,RC,0.272550361482347,0.618996508169459
13,100,0.5,chi-square,True,0.368407431653857,1.09220222000916
13,100,0.5,normal,CS,-0.473988950787746,1.21944372075173
13,100,0.5,normal,Naive,-0.405445309530562,0.696974521949695
13,100,0.5,normal,RC,-0.423799514234052,1.10116971179762
13,100,0.5,normal,True,-0.509971804820907,1.11621829998304
13,100,1,chi-square,CS,-3.5701171875,22.7162109375
13,100,1,chi-square,Naive,-0.187545853306201,0.583103383395975
13,100,1,chi-square,RC,-0.299171454263882,0.83984254523445
13,100,1,chi-square,True,-0.104671583990013,0.893211872325962
13,100,1,normal,CS,-0.020179499097914,0.671608068992965
13,100,1,normal,Naive,-0.121927381932498,0.277930691260444
13,100,1,normal,RC,-0.00993472131055909,0.641506579819811
13,100,1,normal,True,-0.021276094878655,0.753140289317232
13,300,0.5,chi-square,CS,0.0251846388354118,1.17165892626084
13,300,0.5,chi-square,Naive,0.0451683486876818,0.61228859400514
13,300,0.5,chi-square,RC,-0.0160765407157581,0.799159970790775
13,300,0.5,chi-square,True,0.0829159447234209,1.11218571305793
13,300,0.5,normal,CS,0.162495129337444,0.912985296963949
13,300,0.5,normal,Naive,0.167591063302086,0.606535835495211
13,300,0.5,normal,RC,0.157032572887279,0.854142825453658
13,300,0.5,normal,True,0.152057171815502,1.03021448468785
13,300,1,chi-square,CS,0.184789451974984,1.14740792243577
13,300,1,chi-square,Naive,0.170868095450063,0.476775211310135
13,300,1,chi-square,RC,0.0847825328658395,0.730465989323391
13,300,1,chi-square,True,0.295576485002666,1.27906496715126
13,300,1,normal,CS,-0.173367306525138,0.789369240195206
13,300,1,normal,Naive,-0.144858717894129,0.409959086214455
13,300,1,normal,RC,-0.153642492477834,0.734877286116274
13,300,1,normal,True,-0.154392707710363,0.830850259775935
14,100,0.5,chi-square,CS,0.25967791868357,0.894071746119255
14,100,0.5,chi-square,Naive,0.26883369319531,0.483978296987852
14,100,0.5,chi-square,RC,0.226143138751294,0.60365651818156
14,100,0.5,chi-square,True,0.331429472635962,0.890450051204277
14,100,0.5,normal,CS,-0.195779232151999,0.348321834610882
14,100,0.5,normal,Naive,-0.213054001202698,0.215005224827705
14,100,0.5,normal,RC,-0.193601920484986,0.346594208666429
14,100,0.5,normal,True,-0.151043837595201,0.780317243396016
14,100,1,chi-square,CS,0.109653792314083,0.933727623588692
14,100,1,chi-square,Naive,0.11333791674121,0.4674456407215
14,100,1,chi-square,RC,0.0417459627302034,0.579469550963776
14,100,1,chi-square,True,0.140199880643615,0.597561932613604
14,100,1,normal,CS,17.2293212890625,33.98330078125
14,100,1,normal,Naive,0.314840481389052,0.500982491754549
14,100,1,normal,RC,0.456713087154323,0.998137648283434
14,100,1,normal,True,0.11765935040615,1.27166867279544
14,300,0.5,chi-square,CS,0.0737829735385995,1.55535812474574
14,300,0.5,chi-square,Naive,-0.0170776084808918,0.787222889880551
14,300,0.5,chi-square,RC,-0.0668753028310093,0.947349273378548
14,300,0.5,chi-square,True,-0.0329625473999423,1.31483765430324
14,300,0.5,normal,CS,-0.0367722382098063,1.34696835889259
14,300,0.5,normal,Naive,-0.0608959386464368,0.801849149546695
14,300,0.5,normal,RC,-0.0303458510876662,1.17851320398734
14,300,0.5,normal,True,-0.0605223606361264,1.14423197664371
14,300,1,chi-square,CS,-0.0857214821822277,0.59960483679639
14,300,1,chi-square,Naive,-0.0587128188484093,0.339810620804385
14,300,1,chi-square,RC,-0.106162694851689,0.495087669926788
14,300,1,chi-square,True,-0.132042883696796,0.794748662721787
14,300,1,normal,CS,-0.237977769662255,1.27397397258647
14,300,1,normal,Naive,-0.154119151712549,0.53915568031312
14,300,1,normal,RC,-0.203584162081088,1.09976910078884
14,300,1,normal,True,-0.165812691526279,1.11784902549645
15,100,0.5,chi-square,CS,-0.0642170914415756,0.546634429374381
15,100,0.5,chi-square,Naive,-0.0636827393391372,0.368373053664541
